Test,Time,Object Count
MOT17-09-DPM-raw_0-200,0.0249981880187988,1
MOT17-09-DPM-raw_0-150,0.035006046295166,1
MOT17-09-DPM-raw_0-200,0.1001722812652587,3
MOT17-09-DPM-raw_0-150,0.14655351638793945,3
